trade_date,M1_M2_spread_change,M2_M3_spread_change,M3_M4_spread_change
2021-07-16,0.1132075471698113,-0.045454545454545414,0.04430379746840263
2021-07-19,0.016949152542372836,-0.1428571428571429,0.06060606060606055
2021-07-21,-0.3666666666666667,-0.11111111111111116,-0.47058823529411764
2021-07-22,-0.08210526315796363,-0.0625,-0.33333333333333337
2021-07-23,0.0034403669725524555,0.03333333333333344,-0.5
2021-07-26,-0.11428571428571432,-0.29032258064516125,0.33333333333333326
2021-07-27,0.0,0.045454545454545414,0.375
2021-07-28,0.032258064516129004,0.30434782608695654,0.7272727272727273
2021-07-29,0.0625,0.06666666666666665,0.10526315789473695
2021-07-30,0.05882352941176472,0.09375,0.23809523809523814
2021-08-02,0.02777777777777768,0.0,0.0
2021-08-03,-0.05405405405405406,0.05714285714285716,-0.07692307692307687
2021-08-04,0.05714285714285716,-0.027027027027026973,0.0
2021-08-05,-0.05405405405405406,-0.08333333333333337,0.0
2021-08-06,0.02857142857142847,0.21212121212121215,0.16666666666666674
2021-08-09,0.05555555555555558,0.050000000000000044,0.1071428571428572
2021-08-10,-0.02631578947368418,-0.1428571428571429,-0.19354838709677424
2021-08-11,0.08108108108108114,0.11111111111111116,0.1200000000000001
2021-08-12,0.10000000000000009,0.050000000000000044,0.1428571428571428
2021-08-13,-0.13636363636363635,-0.19047619047619047,-0.03125
2021-08-16,-0.4736842105263158,-0.23529411764705888,0.09677419354838701
2021-08-18,0.19999999999999996,-0.14814814814814814,-0.1724137931034483
2021-08-19,-0.7083333333333333,-0.6956521739130435,-0.5833333333333333
2021-08-20,-1.8571428571428572,-1.2857142857142856,-0.4
2021-08-23,4.966666666667152,11.0,-1.6666666666666665
2021-08-24,-0.944134078212295,-1.25,-5.5
2021-08-25,0.0,-1.0,-0.2222222222222222
2021-08-26,4.0,inf,-0.5714285714285714
2021-08-27,-0.30000000000000004,-0.25,0.0
2021-08-31,0.0,-0.33333333333333337,-1.8333333333333335
2021-09-01,-1.7142857142857144,-2.25,-1.6
2021-09-02,1.6,2.2,3.666666666666667
2021-09-03,-0.3076923076923077,-0.25,0.1428571428571428
2021-09-06,-0.33333333333333337,-0.16666666666666663,-0.25
2021-09-07,3.5,1.2999999999999998,0.8333333333333333
2021-09-08,0.33333333333333326,0.0,0.18181818181818188
2021-09-09,-0.19444444444444442,-0.17391304347826086,-0.15384615384615385
2021-09-10,-0.5862068965517242,-0.368421052631579,-0.4545454545454546
2021-09-13,0.41666666666666674,0.0,0.08333333333333326
2021-09-15,0.05882352941176472,0.5833333333333333,-1.3333333333333333
2021-09-16,0.11111111111111116,0.10526315789473695,-0.25
2021-09-17,-0.55,-0.1428571428571429,0.6666666666666667
2021-09-20,-1.844444444444283,-0.5,0.19999999999999996
2021-09-21,-0.21052631578932257,-0.4444444444444444,-0.5
2021-09-22,2.0,-3.0,3.0
2021-09-23,-0.12222222222206058,0.0,0.16666666666666674
2021-09-24,0.012658227847914816,0.3999999999999999,-0.2857142857142857
2021-09-27,0.125,-0.4285714285714286,-0.6
