trade_date,M1_price,M2_price,M3_price,M4_price,M1_M2_spread,M2_M3_spread,M3_M4_spread,M1_M2_spread_change,M2_M3_spread_change,M3_M4_spread_change
2024-01-29,8486.5,8524.0,8550.5,8572.5,-37.5,-26.5,-22.0,0.04895104895104896,-0.009345794392523366,0.0027347310847534168
2024-01-30,8543.75,8581.0,8607.5,8629.25,-37.25,-26.5,-21.75,-0.00666666666666671,0.0,-0.011363636363636354
2024-01-31,8530.5,8569.0,8598.25,8623.5,-38.5,-29.25,-25.25,0.033557046979865834,0.10377358490566047,0.16091954022988508
2024-02-01,8451.0,8491.0,8522.75,8549.0,-40.0,-31.75,-26.25,0.03896103896103886,0.08547008547008539,0.03960396039603964
2024-02-02,8397.84,8436.34,8468.74,8495.49,-38.5,-32.399999999999636,-26.75,-0.03749999999999998,0.02047244094487044,0.01904761904761898
2024-02-05,8267.25,8306.25,8340.5,8366.0,-39.0,-34.25,-25.5,0.01298701298701288,0.057098765432110676,-0.04672897196261683
2024-02-06,8312.25,8351.25,8382.75,8407.25,-39.0,-31.5,-24.5,0.0,-0.08029197080291972,-0.039215686274509776
2024-02-07,8217.0,8256.0,8290.0,8315.75,-39.0,-34.0,-25.75,0.0,0.0793650793650793,0.05102040816326525
2024-02-08,8098.27,8137.77,8170.5,8194.75,-39.5,-32.72999999999956,-24.25,0.012820512820512775,-0.03735294117648347,-0.058252427184465994
2024-02-09,8077.29,8116.29,8148.79,8169.79,-39.0,-32.5,-21.0,-0.012658227848101222,-0.007027192178416297,-0.134020618556701
2024-02-12,8138.24,8177.49,8211.99,8234.5,-39.25,-34.5,-22.51000000000022,0.0064102564102563875,0.06153846153846154,0.07190476190477235
2024-02-13,8163.75,8202.25,8236.5,8259.0,-38.5,-34.25,-22.5,-0.019108280254777066,-0.007246376811594235,-0.0004442470013423794
2024-02-14,8104.0,8140.5,8173.5,8196.0,-36.5,-33.0,-22.5,-0.051948051948051965,-0.03649635036496346,0.0
2024-02-15,8224.25,8261.5,8292.75,8314.0,-37.25,-31.25,-21.25,0.020547945205479534,-0.05303030303030298,-0.05555555555555558
2024-02-16,8410.25,8445.25,8472.75,8491.01,-35.0,-27.5,-18.26000000000022,-0.06040268456375841,-0.12,-0.1407058823529309
2024-02-19,8353.5,8386.3,8414.5,8434.0,-32.79999999999927,-28.200000000000728,-19.5,-0.0628571428571636,0.02545454545457182,0.06790799561882621
2024-02-21,8495.25,8524.25,8543.0,8561.0,-29.0,-18.75,-18.0,-0.1158536585365657,-0.2678641155798682,0.125
2024-02-22,8534.5,8565.5,8585.0,8604.0,-31.0,-19.5,-19.0,0.06896551724137923,0.040000000000000036,0.05555555555555558
2024-02-23,8510.0,8544.0,8567.25,8587.75,-34.0,-23.25,-20.5,0.09677419354838701,0.1923076923076923,0.07894736842105265
2024-02-26,8398.0,8432.0,8459.0,8483.0,-34.0,-27.0,-24.0,0.0,0.16129032258064524,0.1707317073170731
2024-02-27,8409.0,8442.5,8467.5,8490.0,-33.5,-25.0,-22.5,-0.014705882352941124,-0.07407407407407407,-0.0625
2024-02-28,8385.75,8418.75,8442.75,8464.5,-33.0,-24.0,-21.75,-0.014925373134328401,-0.040000000000000036,-0.033333333333333326
2024-02-29,8427.0,8461.0,8486.5,8509.5,-34.0,-25.5,-23.0,0.030303030303030276,0.0625,0.05747126436781613
2024-03-01,8438.5,8472.5,8496.5,8517.75,-34.0,-24.0,-21.25,0.0,-0.05882352941176472,-0.07608695652173914
2024-03-04,8476.51,8509.51,8533.51,8554.0,-33.0,-24.0,-20.48999999999978,-0.02941176470588236,0.0,-0.035764705882363246
2024-03-05,8421.75,8454.75,8481.25,8501.75,-33.0,-26.5,-20.5,0.0,0.10416666666666674,0.000488042947790035
2024-03-06,8503.0,8539.0,8566.5,8586.5,-36.0,-27.5,-20.0,0.09090909090909083,0.037735849056603765,-0.024390243902439046
2024-03-07,8561.24,8598.99,8628.99,8649.51,-37.75,-30.0,-20.520000000000437,0.04861111111111116,0.09090909090909083,0.026000000000021783
2024-03-08,8500.28,8537.26,8567.75,8589.5,-36.97999999999956,-30.48999999999978,-21.75,-0.02039735099338902,0.016333333333325983,0.05994152046781376
2024-03-11,8571.0,8608.5,8638.75,8660.5,-37.5,-30.25,-21.75,0.014061654948632762,-0.007871433256798399,0.0
2024-03-12,8570.2,8608.2,8639.95,8663.95,-38.0,-31.75,-24.0,0.01333333333333342,0.04958677685950419,0.10344827586206895
2024-03-13,8840.01,8878.01,8909.26,8931.25,-38.0,-31.25,-21.98999999999978,0.0,-0.015748031496062964,-0.0837500000000091
2024-03-14,8786.0,8827.0,8861.0,8890.5,-41.0,-34.0,-29.5,0.07894736842105265,0.08800000000000008,0.34151887221465627
2024-03-15,8970.25,9012.25,9046.75,9074.75,-42.0,-34.5,-28.0,0.024390243902439046,0.014705882352941124,-0.05084745762711862
2024-03-18,8986.11,9025.45,9059.7,9089.39,-39.340000000000146,-34.25,-29.68999999999869,-0.06333333333332991,-0.007246376811594235,0.06035714285709615
2024-03-20,8858.84,8895.28,8928.28,8954.94,-36.44000000000051,-33.0,-26.659999999999854,-0.07371631926791122,-0.05660377358489388,-0.15230524642291776
2024-03-21,8875.48,8914.43,8950.13,8978.09,-38.95000000000073,-35.69999999999891,-27.960000000000946,0.06888035126235414,0.0818181818181487,0.04876219054767805
2024-03-22,8791.02,8830.02,8866.21,8893.67,-39.0,-36.18999999999869,-27.460000000000946,0.001283697047478105,0.013725490196072831,-0.017882689556508735
2024-03-25,8792.58,8831.58,8867.95,8897.77,-39.0,-36.3700000000008,-29.81999999999971,0.0,0.004973749654659132,0.08594319009463525
2024-03-26,8781.47,8820.43,8855.74,8885.16,-38.960000000000946,-35.30999999999949,-29.420000000000073,-0.0010256410256167525,-0.02914489964259792,-0.013413816230705589
2024-03-27,8768.0,8806.49,8841.39,8872.61,-38.48999999999978,-34.899999999999636,-31.220000000001164,-0.0120636550308304,-0.01161144151797966,0.061182868796773926
2024-03-28,8787.84,8826.54,8859.31,8887.49,-38.70000000000073,-32.76999999999862,-28.18000000000029,0.005455962587709751,-0.06103151862467171,-0.09737347853942213
2024-04-02,8907.25,8945.75,8978.7,9008.45,-38.5,-32.95000000000073,-29.75,-0.005167958656349447,0.005492828806900052,0.05571327182397767
2024-04-03,9171.53,9210.93,9245.7,9279.94,-39.399999999999636,-34.77000000000044,-34.23999999999978,0.023376623376613948,0.05523520485583222,0.15092436974789192
2024-04-04,9257.56,9299.91,9338.5,9374.74,-42.350000000000364,-38.590000000000146,-36.23999999999978,0.07487309644671969,0.10986482599941505,0.058411214953271395
2024-04-05,9223.5,9269.0,9309.0,9345.14,-45.5,-40.0,-36.13999999999942,0.07438016528924707,0.03653796320289837,-0.0027593818984648077
2024-04-08,9295.01,9343.76,9387.71,9422.26,-48.75,-43.94999999999891,-34.55000000000109,0.0714285714285714,0.0987499999999728,-0.04399557277250554
2024-04-09,9294.28,9343.24,9391.68,9428.03,-48.95999999999913,-48.44000000000051,-36.350000000000364,0.00430769230767436,0.10216154721278081,0.05209840810417421
2024-04-10,9249.24,9296.49,9344.73,9383.49,-47.25,-48.23999999999978,-38.76000000000022,-0.03492647058821807,-0.004128819157735886,0.06629986244841346
2024-04-11,9213.4,9260.69,9311.05,9350.17,-47.29000000000087,-50.35999999999876,-39.1200000000008,0.0008465608465793029,0.04394693200661259,0.009287925696609411
2024-04-12,9334.96,9381.34,9425.91,9463.22,-46.38000000000102,-44.56999999999971,-37.30999999999949,-0.01924296891520061,-0.11497220015884024,-0.046267893660564274
2024-04-15,9499.47,9514.03,9545.53,9575.41,-14.56000000000131,-31.5,-29.8799999999992,-0.6860715825786764,-0.29324657841597024,-0.19914232109355112
2024-04-17,9515.12,9550.95,9582.5,9610.0,-35.82999999999993,-31.549999999999272,-27.5,1.4608516483514218,-0.245215311004789,-0.23076923076923073
2024-04-18,9676.0,9708.72,9737.2,9761.78,-32.719999999999345,-28.480000000001382,-24.579999999999927,-0.08679877197880514,-0.09730586370833472,-0.10618181818182082
2024-04-19,9819.74,9854.16,9879.93,9903.56,-34.42000000000007,-25.770000000000437,-23.6299999999992,0.051955990220072135,-0.09515449438205104,-0.03864930838082714
2024-04-22,9764.16,9803.46,9831.49,9856.55,-39.29999999999927,-28.030000000000655,-25.05999999999949,0.14177803602554295,0.08769887466046478,0.060516292848088904
